Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,SNORA43,2.8692386229811635e-12,False,6,685,SNORA43;SNORA43;SNORA43;SNORA43;SNORA43;SNORA17
CRT-logit,FAF1,3.1205493261723153e-12,False,2,296,FAF1;CDKN2C
CRT-logit,U3,1.2784650028297249e-11,False,8,696,U3;U3;U3;U3;U3;U3;U3;U3
CRT-logit,SNORA70,2.4652816931912125e-11,False,21,953,SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70;SNORA70
CRT-logit,SAMD9,6.471436051177459e-11,True,28,697,CYP51A1;LRRD1;KRIT1;ANKIB1;GATAD1;PEX1;RBM48;FAM133B;CDK6;RN7SL7P;SAMD9;SAMD9L;HEPACAM2;CCDC132;CALCR;MIR653;MIR489;GNGT1;MIR4652;TFPI2;GNG11;BET1;COL1A2;CASD1;SGCE;PEG10;RN7SKP129;PPP1R9A
CRT-logit,KMT2D,1.7391435238454805e-10,True,60,777,ANO6;ARID2;RN7SL246P;SCAF11;SLC38A1;SLC38A2;SLC38A4;AMIGO2;PCED1B;MIR4698;MIR4494;RPAP3;ENDOU;RAPGEF3;SLC48A1;HDAC7;VDR;TMEM106C;COL2A1;SENP1;PFKM;ASB8;C12orf68;OR10AD1;H1FNT;ZNF641;ANP32D;C12orf54;OR8S1;LALBA;KANSL2;SNORA34;SNORA2A;SNORA2B;CCNT1;LINC00935;ADCY6;MIR4701;CACNB3;DDX23;RND1;CCDC65;FKBP11;ARF3;WNT10B;WNT1;DDN;PRKAG1;KMT2D;RHEBL1;DHH;LMBR1L;TUBA1B;TUBA1A;TUBA1C;PRPH;TROAP;C1QL4;DNAJC22;SPATS2
CRT-logit,snoU13,1.9119636165447883e-10,False,3,668,snoU13;snoU13;snoU13
CRT-logit,CHL1,2.36557079077957e-10,True,18,361,CHL1;RN7SL120P;CNTN6;RN7SKP144;CNTN4;IL5RA;TRNT1;CRBN;SUMF1;LRRN1;SETMAR;ITPR1;EGOT;BHLHE40;ARL8B;EDEM1;MIR4790;RN7SL553P
CRT-logit,DNAH1,2.8152893243851785e-10,True,63,588,MANF;RBM15B;VPRBP;RAD54L2;RNU6ATAC29P;TEX264;RNA5SP132;GRM2;IQCF6;IQCF3;IQCF2;RN7SL504P;IQCF5;IQCF1;RRP9;PARP3;GPR62;PCBP4;ABHD14B;ABHD14A;ACY1;RPL29;DUSP7;POC1A;ALAS1;TLR9;TWF2;PPM1M;WDR82;MIRLET7G;GLYCTK;MIR135A1;DNAH1;BAP1;PHF7;SEMA3G;TNNC1;NISCH;STAB1;NT5DC2;SMIM4;PBRM1;RNU6ATAC16P;GNL3;SNORD19;SNORD19;SNORD19B;SNORD19B;SNORD69;GLT8D1;SPCS1;NEK4;ITIH1;ITIH3;ITIH4;MUSTN1;TMEM110;SFMBT1;RFT1;PRKCD;TKT;DCP1A;CACNA1D
CRT-logit,SLC27A2,2.9348292879588903e-10,True,32,460,SLC27A2;HDC;RN7SL494P;GABPB1;MIR4712;USP8;RNA5SP395;USP50;TRPM7;RN7SL354P;SPPL2A;AP4E1;TNFAIP8L3;CYP19A1;MIR4713;GLDN;DMXL2;SCG3;LYSMD2;TMOD2;TMOD3;LEO1;MAPK6;BCL2L10;GNB5;MYO5C;MIR1266;MYO5A;ARPP19;FAM214A;ONECUT1;WDR72
